source	lang_label_ga	function	phrase_raw	phrase_native	phrase_translit	slots_count_est	needs_manual_normalization
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Slóvaicis	morning	Dobré ráno Dobrý deň Dobrý večer Dobrú noc Ahoj, Čau		Dobré ráno Dobrý deň Dobrý večer Dobrú noc Ahoj, Čau	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Slóivéinis	morning	Dobro jutro Dober dan Dober večer Lahko noc Živjo		Dobro jutro Dober dan Dober večer Lahko noc Živjo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Spáinnis	morning	Buenos días Buenos días Buenas tardes Buenas noches Hola		Buenos días Buenos días Buenas tardes Buenas noches Hola	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sualainnis	morning	God morgon Goddag / God middag God afton God natt Hej		God morgon Goddag / God middag God afton God natt Hej	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Suahílí	morning	Subalkheri Masalkheri Usiku mwema Jambo		Subalkheri Masalkheri Usiku mwema Jambo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Súlú	morning	Umhlala gahle Sawubona Sawubona Lala kahle / Lalani kahle Sawubona		Umhlala gahle Sawubona Sawubona Lala kahle / Lalani kahle Sawubona	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Tagalog	morning	Magandang umaga Magandang araw Magandang gabi		Magandang umaga Magandang araw Magandang gabi	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Téalainnis	morning	Sawatdi +'Krap'(masc)/+'Kha'(fem) Sawatdi Sawatdi Sawatdi Sawatdi		Sawatdi +'Krap'(masc) / +'Kha'(fem) Sawatdi Sawatdi Sawatdi Sawatdi	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Tibéidis	morning	bKra-gshis bde legs bKra-gshis bde legs bKra-gshis bde legs bKra-gshis bde legs bde-mo		bKra-gshis bde legs bKra-gshis bde legs bKra-gshis bde legs bKra-gshis bde legs bde-mo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Tuircis	morning	Günaydın, merhaba Merhaba İyi akşamlar İyi geceler Selam		Günaydın, merhaba Merhaba İyi akşamlar İyi geceler Selam	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Úcráinis	morning	Dobryi ranok Dobryi den Dobryi vechir   Pryvit		Dobryi ranok Dobryi den Dobryi vechir   Pryvit	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Ungáiris	morning	Jó reggelt Jó napot Jó estét Jó éjszakát Szia / Sziasztok		Jó reggelt Jó napot Jó estét Jó éjszakát Szia / Sziasztok	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Uropi	morning	Bun morna Bun dia Bun vespen Bun noc Halo		Bun morna Bun dia Bun vespen Bun noc Halo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Vítneaimis	morning	Chào Chào Chào Chào buoi toi / Chúc ngu ngon Chào / Chào ban		Chào Chào Chào Chào buoi toi / Chúc ngu ngon Chào / Chào ban	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Vallóinis	morning	Bondjoû Bondjoû Bonswer Bone nute A		Bondjoû Bondjoû Bonswer Bone nute A	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Xhosa	morning	Molo / Molweni Molo / Molweni Molo / Molweni Rhonanai / Ulale kakuhle Molo / Molweni		Molo / Molweni Molo / Molweni Molo / Molweni Rhonanai / Ulale kakuhle Molo / Molweni	1	True
